>>lucas | Wed 19 Feb, 13:11:31<->Wed 19 Feb, 13:13:14 | total time:1.72 mins | 
>>lucas | Mon 02 Mar, 15:19:15<->Mon 02 Mar, 15:25:11 | total time:5.93 mins | 
 | Avg. Speed: 0.54 Min/Ann | Conformity: 0.39 | #Ann:11

>>lucas | Tue 03 Mar, 15:13:50<->Tue 03 Mar, 15:13:50 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.76 | #Ann:1

>>lucas | Tue 03 Mar, 15:44:58<->Tue 03 Mar, 15:51:40 | total time:6.70 mins | 
 | Avg. Speed: 0.84 Min/Ann | Conformity: 0.63 | #Ann:8

>>lucas | Tue 03 Mar, 16:27:25<->Tue 03 Mar, 16:28:40 | total time:1.25 mins | 
 | Avg. Speed: 0.18 Min/Ann | Conformity: 0.76 | #Ann:7

>>lucas | Tue 03 Mar, 17:01:58<->Tue 03 Mar, 17:14:50 | total time:12.87 mins | 
 | Avg. Speed: 1.61 Min/Ann | Conformity: 0.38 | #Ann:8

>>lucas | Tue 03 Mar, 18:13:14<->Tue 03 Mar, 18:13:14 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.76 | #Ann:1

>>lucas | Wed 04 Mar, 10:46:42<->Wed 04 Mar, 10:46:51 | total time:0.15 mins | 
 | Avg. Speed: 0.07 Min/Ann | Conformity: 0.76 | #Ann:2

>>lucas | Wed 04 Mar, 11:04:08<->Wed 04 Mar, 11:04:47 | total time:0.65 mins | 
 | Avg. Speed: 0.33 Min/Ann | Conformity: 0.76 | #Ann:2

>>lucas | Wed 04 Mar, 11:24:20<->Wed 04 Mar, 11:24:20 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.24 | #Ann:1

>>lucas | Wed 04 Mar, 12:01:37<->Wed 04 Mar, 12:16:15 | total time:14.63 mins | 
 | Avg. Speed: 0.86 Min/Ann | Conformity: 0.01 | #Ann:17

>>lucas | Wed 04 Mar, 13:01:02<->Wed 04 Mar, 13:01:55 | total time:0.88 mins | 
 | Avg. Speed: 0.22 Min/Ann | Conformity: 0.01 | #Ann:4

>>lucas | Wed 04 Mar, 13:54:12<->Wed 04 Mar, 13:54:12 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.24 | #Ann:1

>>lucas | Wed 04 Mar, 14:39:21<->Wed 04 Mar, 14:52:40 | total time:13.32 mins | 
 | Avg. Speed: 1.02 Min/Ann | Conformity: 0.24 | #Ann:13

>>lucas | Wed 04 Mar, 17:13:31<->Wed 04 Mar, 17:13:31 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.24 | #Ann:1

>>lucas | Wed 04 Mar, 17:28:26<->Wed 04 Mar, 17:50:08 | total time:21.70 mins | 
 | Avg. Speed: 0.47 Min/Ann | Conformity: 0.20 | #Ann:46

>>lucas | Wed 04 Mar, 18:27:19<->Wed 04 Mar, 18:29:57 | total time:2.63 mins | 
 | Avg. Speed: 0.29 Min/Ann | Conformity: 0.24 | #Ann:9

>>lucas | Wed 04 Mar, 18:50:29<->Wed 04 Mar, 19:00:47 | total time:10.30 mins | 
 | Avg. Speed: 0.64 Min/Ann | Conformity: 0.12 | #Ann:16

>>lucas | Thu 05 Mar, 14:44:05<->Thu 05 Mar, 14:44:19 | total time:0.23 mins | 
 | Avg. Speed: 0.06 Min/Ann | Conformity: 0.24 | #Ann:4

>>lucas | Fri 06 Mar, 13:49:47<->Fri 06 Mar, 14:57:33 | total time:67.77 mins | 
 | Avg. Speed: 0.42 Min/Ann | Conformity: 0.18 | #Ann:161

>>lucas | Fri 06 Mar, 15:21:54<->Fri 06 Mar, 15:23:28 | total time:1.57 mins | 
 | Avg. Speed: 0.22 Min/Ann | Conformity: 0.24 | #Ann:7

>>lucas | Fri 06 Mar, 16:21:45<->Fri 06 Mar, 16:29:50 | total time:8.08 mins | 
 | Avg. Speed: 0.51 Min/Ann | Conformity: 0.06 | #Ann:16

>>lucas | Sun 08 Mar, 14:02:30<->Sun 08 Mar, 14:02:30 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.76 | #Ann:1

>>lucas | Tue 10 Mar, 15:44:57<->Tue 10 Mar, 16:15:47 | total time:30.83 mins | 
 | Avg. Speed: 0.55 Min/Ann | Conformity: 0.42 | #Ann:56

>>lucas | Tue 10 Mar, 17:02:16<->Tue 10 Mar, 17:08:19 | total time:6.05 mins | 
 | Avg. Speed: 0.76 Min/Ann | Conformity: 0.24 | #Ann:8

>>lucas | Tue 10 Mar, 17:20:35<->Tue 10 Mar, 17:28:05 | total time:7.50 mins | 
 | Avg. Speed: 1.07 Min/Ann | Conformity: 0.24 | #Ann:7

>>lucas | Tue 10 Mar, 17:41:29<->Tue 10 Mar, 17:43:58 | total time:2.48 mins | 
 | Avg. Speed: 0.31 Min/Ann | Conformity: 0.12 | #Ann:8

>>lucas | Tue 10 Mar, 17:55:58<->Tue 10 Mar, 18:04:38 | total time:8.67 mins | 
 | Avg. Speed: 0.29 Min/Ann | Conformity: 0.11 | #Ann:30

>>lucas | Wed 11 Mar, 14:44:48<->Wed 11 Mar, 14:47:12 | total time:2.40 mins | 
 | Avg. Speed: 0.30 Min/Ann | Conformity: 0.12 | #Ann:8

>>lucas | Wed 11 Mar, 15:08:23<->Wed 11 Mar, 15:08:23 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.24 | #Ann:1

>>lucas | Wed 11 Mar, 15:32:03<->Wed 11 Mar, 15:36:20 | total time:4.28 mins | 
 | Avg. Speed: 0.48 Min/Ann | Conformity: 0.13 | #Ann:9

>>lucas | Wed 11 Mar, 18:49:43<->Wed 11 Mar, 19:17:45 | total time:28.03 mins | 
 | Avg. Speed: 0.49 Min/Ann | Conformity: 0.10 | #Ann:57

>>lucas | Mon 16 Mar, 17:07:42<->Mon 16 Mar, 17:10:21 | total time:2.65 mins | 
 | Avg. Speed: 0.24 Min/Ann | Conformity: 0.30 | #Ann:11

>>lucas | Mon 16 Mar, 17:21:51<->Mon 16 Mar, 17:33:47 | total time:11.93 mins | 
 | Avg. Speed: 1.33 Min/Ann | Conformity: 0.64 | #Ann:9

>>lucas | Mon 16 Mar, 18:33:42<->Mon 16 Mar, 19:00:20 | total time:26.63 mins | 
 | Avg. Speed: 0.86 Min/Ann | Conformity: 0.43 | #Ann:31

>>lucas | Mon 16 Mar, 19:20:38<->Mon 16 Mar, 19:42:49 | total time:22.18 mins | 
 | Avg. Speed: 0.89 Min/Ann | Conformity: 0.16 | #Ann:25

>>lucas | Mon 16 Mar, 20:27:15<->Mon 16 Mar, 20:44:38 | total time:17.38 mins | 
 | Avg. Speed: 0.76 Min/Ann | Conformity: 0.11 | #Ann:23

>>lucas | Mon 16 Mar, 20:54:46<->Mon 16 Mar, 21:01:22 | total time:6.60 mins | 
 | Avg. Speed: 0.51 Min/Ann | Conformity: 0.06 | #Ann:13

>>lucas | Wed 18 Mar, 19:32:28<->Wed 18 Mar, 19:32:28 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.24 | #Ann:1

>>nell | Wed 19 Feb, 14:07:29<->Wed 19 Feb, 15:13:08 | total time:65.65 mins | 
 | Avg. Speed: 1.46 Min/Ann | Conformity: 0.02 | #Ann:45

>>nell | Wed 19 Feb, 15:39:52<->Wed 19 Feb, 17:00:07 | total time:80.25 mins | 
 | Avg. Speed: 1.22 Min/Ann | Conformity: 0.06 | #Ann:66

>>nell | Fri 21 Feb, 08:35:55<->Fri 21 Feb, 11:00:59 | total time:145.07 mins | 
 | Avg. Speed: 2.17 Min/Ann | Conformity: 0.25 | #Ann:67

>>nell | Wed 26 Feb, 18:44:01<->Wed 26 Feb, 20:24:53 | total time:100.87 mins | 
 | Avg. Speed: 1.90 Min/Ann | Conformity: 0.55 | #Ann:53

>>nell | Wed 11 Mar, 10:03:59<->Wed 11 Mar, 11:12:54 | total time:68.92 mins | 
 | Avg. Speed: 1.50 Min/Ann | Conformity: 0.45 | #Ann:46

>>nell | Sun 15 Mar, 18:32:29<->Sun 15 Mar, 20:01:14 | total time:88.75 mins | 
 | Avg. Speed: 1.29 Min/Ann | Conformity: 0.14 | #Ann:69

>>nell | Wed 18 Mar, 19:06:11<->Wed 18 Mar, 19:31:53 | total time:25.70 mins | 
 | Avg. Speed: 1.61 Min/Ann | Conformity: 0.07 | #Ann:16

>>loredana | Wed 19 Feb, 14:08:47<->Wed 19 Feb, 15:13:06 | total time:64.32 mins | 
 | Avg. Speed: 1.21 Min/Ann | Conformity: 0.11 | #Ann:53

>>loredana | Wed 19 Feb, 15:37:11<->Wed 19 Feb, 16:59:26 | total time:82.25 mins | 
 | Avg. Speed: 0.91 Min/Ann | Conformity: 0.02 | #Ann:90

>>loredana | Wed 11 Mar, 09:10:04<->Wed 11 Mar, 12:12:30 | total time:182.43 mins | 
 | Avg. Speed: 0.91 Min/Ann | Conformity: 0.21 | #Ann:200

>>loredana | Sun 15 Mar, 18:32:23<->Sun 15 Mar, 20:01:12 | total time:88.82 mins | 
 | Avg. Speed: 0.66 Min/Ann | Conformity: 0.19 | #Ann:135

>>utku | Wed 19 Feb, 15:46:10<->Wed 19 Feb, 17:03:46 | total time:77.60 mins | 
 | Avg. Speed: 0.74 Min/Ann | Conformity: 0.01 | #Ann:105

>>utku | Wed 19 Feb, 17:18:57<->Wed 19 Feb, 18:40:52 | total time:81.92 mins | 
 | Avg. Speed: 0.59 Min/Ann | Conformity: 0.06 | #Ann:139

>>utku | Fri 21 Feb, 08:02:32<->Fri 21 Feb, 11:00:06 | total time:177.57 mins | 
 | Avg. Speed: 0.59 Min/Ann | Conformity: 0.03 | #Ann:302

>>utku | Tue 25 Feb, 20:36:23<->Tue 25 Feb, 22:06:58 | total time:90.58 mins | 
 | Avg. Speed: 0.54 Min/Ann | Conformity: 0.03 | #Ann:168

>>utku | Sun 01 Mar, 12:50:49<->Sun 01 Mar, 14:27:48 | total time:96.98 mins | 
 | Avg. Speed: 0.48 Min/Ann | Conformity: 0.05 | #Ann:201

>>utku | Sat 07 Mar, 14:01:21<->Sat 07 Mar, 15:31:45 | total time:90.40 mins | 
 | Avg. Speed: 0.59 Min/Ann | Conformity: 0.00 | #Ann:153

>>utku | Fri 13 Mar, 13:52:31<->Fri 13 Mar, 15:22:20 | total time:89.82 mins | 
 | Avg. Speed: 0.64 Min/Ann | Conformity: 0.07 | #Ann:140

>>utku | Sat 14 Mar, 19:17:39<->Sat 14 Mar, 20:46:41 | total time:89.03 mins | 
 | Avg. Speed: 0.57 Min/Ann | Conformity: 0.06 | #Ann:157



TOTAL TIMES

utku: 16:13.900000000000091
loredana: 9:57.816666666666606
nell: 9:35.200000000000045
lucas: 7:46.25
